	(1)	(2)	(3)
VARIABLES	consumo_semanal	consumo_semanal	consumo_semanal
			
tax2020	0.151	-0.123	0.275
	(0.761)	(0.676)	(0.563)
0b.tax2020#0b.sexo	0	0	
	(0)	(0)	
0b.tax2020#1.sexo	-0.230	-0.277	
	(0.947)	(0.945)	
1o.tax2020#0b.sexo	0	0	
	(0)	(0)	
1o.tax2020#1o.sexo	0	0	
	(0)	(0)	
0b.tax2020#0b.singles	0		0
	(0)		(0)
0b.tax2020#1.singles	0.916		0.934
	(1.166)		(1.162)
1o.tax2020#0b.singles	0		0
	(0)		(0)
1o.tax2020#1o.singles	0		0
	(0)		(0)
sexo	-2.131*	-2.102*	-2.246**
	(1.138)	(1.137)	(1.035)
2.edad_gr2	0.370	0.412	0.359
	(1.823)	(1.821)	(1.821)
3.edad_gr2	2.870	2.903	2.848
	(1.898)	(1.896)	(1.895)
4.edad_gr2	2.056	2.065	2.059
	(1.944)	(1.944)	(1.944)
5.edad_gr2	0.397	0.343	0.396
	(2.151)	(2.149)	(2.150)
6.edad_gr2	4.101**	4.113**	4.090**
	(1.939)	(1.939)	(1.938)
7.edad_gr2	1.844	1.880	1.831
	(2.443)	(2.442)	(2.442)
8.edad_gr2	4.659	4.972	4.725
	(4.942)	(4.924)	(4.929)
2.educ_gr2	2.115	2.114	2.122
	(7.433)	(7.430)	(7.432)
3.educ_gr2	-0.297	-0.288	-0.327
	(7.332)	(7.328)	(7.330)
4.educ_gr2	0.484	0.474	0.482
	(7.292)	(7.289)	(7.292)
5.educ_gr2	0.469	0.499	0.459
	(7.328)	(7.325)	(7.328)
6.educ_gr2	4.601	4.589	4.584
	(7.304)	(7.300)	(7.303)
7.educ_gr2	7.074	7.063	7.027
	(7.621)	(7.618)	(7.619)
9.educ_gr2	-3.407	-3.103	-3.451
	(8.365)	(8.353)	(8.360)
2.gr_ingr	5.125**	5.059**	5.154**
	(2.053)	(2.051)	(2.046)
3.gr_ingr	-1.707	-1.728	-1.691
	(1.958)	(1.957)	(1.955)
4.gr_ingr	-1.157	-1.168	-1.147
	(1.941)	(1.940)	(1.938)
5.gr_ingr	0.147	0.0816	0.177
	(1.896)	(1.893)	(1.889)
6.gr_ingr	0.978	0.953	1.009
	(1.968)	(1.967)	(1.961)
7.gr_ingr	-0.283	-0.256	-0.264
	(2.027)	(2.026)	(2.024)
8.gr_ingr	2.209	2.214	2.259
	(2.718)	(2.717)	(2.709)
99.gr_ingr	0.0329	0.0330	0.0359
	(2.652)	(2.652)	(2.651)
singles	-4.782***	-4.330***	-4.785***
	(1.054)	(0.882)	(1.052)
Constant	9.247	9.378	9.185
	(7.418)	(7.412)	(7.412)
			
Observations	654	654	654
Number of id_num	380	380	380
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
